status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,personal_status,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,credit
1,0.2778142626035009,3,3,0.3209043681369325,2,2,2,1,0,3,1,0,2,1,2,2,1,0,0,0
1,2.28934150591123,1,9,0.13031323170266162,1,2,1,0,0,1,0,0,1,1,1,2,1,0,0,0
1,-0.7279493590503636,4,9,-0.6422489947661449,1,2,4,0,2,2,0,0,2,1,2,3,1,1,0,0
0,-0.8117629941881858,4,0,0.24635580554640588,1,2,1,1,0,2,0,0,2,1,2,1,2,0,0,0
0,-0.7279493590503636,4,1,-0.6021615601655788,1,4,4,1,0,4,3,0,2,2,2,3,1,0,0,0
1,0.1101869923278568,2,4,-0.19812241669145095,3,4,3,1,0,4,2,0,2,1,1,2,1,0,0,0
2,0.7806960734304331,0,9,0.3455194595583328,1,2,2,0,0,1,2,0,2,1,2,2,1,0,0,0
0,0.2778142626035009,2,1,-0.11056302006389844,1,2,3,1,2,4,3,0,0,1,1,2,2,1,0,0
1,-0.2250675482234314,4,3,-0.49983310868518604,1,2,4,0,0,2,3,0,2,1,2,2,1,0,0,0
3,-0.8955766293260078,2,5,-0.7080064532776,1,2,2,1,0,2,2,0,2,1,1,2,1,1,0,0
0,-0.47650845363689753,2,3,-0.4899870721166259,1,1,4,0,2,1,1,0,2,0,1,2,1,0,0,0
1,-1.230831169877296,4,0,-1.05085951236139,4,2,2,0,0,2,0,0,0,1,2,1,1,0,0,0
1,-1.230831169877296,2,6,-0.9066854054646167,3,3,2,1,0,4,0,1,2,0,1,1,1,0,0,0
3,-1.230831169877296,2,0,-0.8894548414696365,4,1,2,1,0,2,0,0,2,1,1,0,1,0,1,0
0,1.2835778842573655,2,2,4.437250942121389,1,0,2,1,1,3,2,0,2,1,1,3,1,0,0,0
2,0.2778142626035009,1,7,-0.4928002254219288,1,3,4,0,0,4,3,0,0,2,1,1,1,0,0,1
0,-0.6441357239125416,4,9,-0.5068659919484433,1,1,3,1,0,1,1,0,0,1,2,1,1,0,0,0
0,-1.230831169877296,2,7,-0.9812339680551433,1,1,4,0,0,4,1,1,2,1,1,2,1,0,0,1
2,-0.2250675482234314,2,4,-0.008937856909831498,3,1,1,1,0,3,0,0,2,0,1,2,1,0,0,0
0,-0.7279493590503636,2,0,-0.23188025635508563,1,1,4,1,0,1,0,0,2,1,1,1,2,0,0,1
0,-1.230831169877296,1,7,-0.7175008456829972,1,4,4,0,0,4,3,0,2,2,1,2,1,0,0,1
1,0.026373357190034745,0,0,0.6205051951516904,0,2,1,0,0,4,1,0,0,1,2,2,1,1,0,1
2,0.2778142626035009,3,3,-0.31838472049314953,0,1,4,1,0,2,1,0,0,1,1,1,1,0,0,0
1,-0.47650845363689753,2,5,-0.6949956192405741,3,3,4,1,0,3,1,0,2,1,2,2,1,1,0,0
2,-0.7279493590503636,2,4,-0.7326215446990003,1,4,3,1,2,3,0,0,0,1,2,1,1,0,0,0
1,-0.8955766293260078,2,8,-0.8244006712845071,0,3,4,0,0,3,1,0,2,1,1,2,1,1,0,0
1,-0.7279493590503636,4,3,0.03255615434338615,1,4,2,1,0,4,1,0,1,1,1,2,1,0,0,0
2,-0.2250675482234314,2,4,-0.7473905995518405,1,2,4,0,2,4,0,0,2,1,1,1,2,0,0,0
1,-0.7279493590503636,2,7,-0.8859383998380078,1,4,4,1,0,4,2,0,0,1,1,1,2,0,0,1
2,0.2778142626035009,3,3,-0.41297700038395924,1,0,3,0,0,2,1,0,2,1,1,3,1,1,0,1
3,0.7806960734304331,4,4,0.1468405073713161,0,4,4,1,0,4,1,0,1,1,2,1,1,0,0,0
0,0.2778142626035009,4,1,1.187355586170223,1,0,2,1,0,4,3,0,2,2,2,3,1,1,0,0
1,-0.2250675482234314,4,1,-0.003311550299225715,0,0,2,1,0,4,3,0,2,1,1,3,1,1,0,0
1,-0.47650845363689753,4,3,0.03677588430134049,1,2,4,1,0,2,3,0,2,2,1,2,1,1,0,0
0,0.7806960734304331,2,3,-0.045860494041931946,1,1,2,1,0,4,1,0,2,1,1,1,1,0,0,1
2,-0.9793902644638298,2,4,-0.9777175264235147,1,2,4,1,0,3,0,1,2,1,1,2,1,0,0,0
1,-0.47650845363689753,4,4,-0.621501989139536,1,2,4,1,0,4,3,0,2,2,2,2,1,1,0,0
